_id|sort_order|name|name_de|name_fr|name_es|name_it|name_ja|goal|goal_de|goal_fr|goal_es|goal_it|goal_ja|hub|type|rank|goal_type|hunter_type|stars|location_id|time_limit|fee|reward|hrp|sub_goal|sub_goal_de|sub_goal_fr|sub_goal_es|sub_goal_it|sub_goal_ja|flavor|flavor_de|flavor_fr|flavor_es|flavor_it|flavor_ja|sub_reward|sub_hrp|permit_monster_id|metadata
101|0|Find the Ferns|Farnfinder|Sauvegarde des fougères|Encuentra los helechos|Falcia la felce!||Deliver 8 Unique Ferns|Liefere 8 Einmalige Farne ab.|Livrer 8 fougères uniques|Entrega 8 helechos únicos|Consegna 8 felci speciali||Village|1|LR|3|0|1|1|50|0|300|30|Deliver 10 Unique Mushrooms|10 Einmalige Pilze abliefern|Livrer 10 champignons spéciaux|Entrega 10 setas especiales|Consegna 10 funghi speciali||Unique Ferns are tasty and all, but when people keep eating them, there are no specimens to research! That's why I need you to go out and gather some before they're all gone. Look for them growing among flowers.|Ich weiß ja, dass Einmalige Farne herrlich schmecken, aber wenn alle aufgegessen werden, habe ich keine mehr für meine Forschung! Kannst du zwischen den Blumen ein paar sammeln, solange noch welche da sind?|Les fougères uniques sont si appréciées des gourmets que je n'aurai bientôt plus rien à étudier. Ramenez quelques spécimens avant leur disparition. Vous en trouverez parmi les fleurs.|Los helechos únicos son sabrosos y tal, pero si la gente se los come, ¡no puedo estudiarlos! Por eso tienes que salir a recoger mientras aún queden. Búscalos entre las flores.|Le felci speciali sono gustose da mangiare, ma di questo passo non resteranno esemplari per le ricerche! Mi serve che tu ne raccolga a sufficienza prima che sia tardi! Cerca tra i fiori!||600|10|0|1
102|1|Due for Dragon Amber|Zeit für Drachenbernstein|Besoin d'ambre de dragon|A por ámbar dragón|Ambradrago a domicilio||Deliver 3 Dragon Amber Pieces|Liefere 3 Drachenbernstein-Stücke ab.|Livrer 3 morceaux d'ambre dragon|Entrega 3 ámbares dragón|Consegna 3 pezzi di ambradrago||Village|0|LR|3|0|1|1|50|0|300|30|Deliver 2 Fossilized Bones|2 Versteinerte Knochen abliefern|Livrer 2 os fossilisés|Entrega 2 huesos fosilizados|Consegna 2 ossi fossili||Dragon Amber is incredibly useful for research, but it's also a pain in the neck to get. Well, for these old bones it is. Grab a few pickaxes and get to mining me some from the Jurassic Frontier!|Drachenbernstein ist ein Klumpen verfestigte Körperflüssigkeit von Wyvern! Das klingt nicht sehr attraktiv, ist aber unglaublich wichtig für die Forschung. Bitte hol mir doch etwas davon aus dem Jura-Grenzland.|Vous savez que l'ambre de dragon est constitué de fluides de wyvernes ? C'est très utile pour mes recherches. Soyez assez aimable de m'en chercher à la Frontière jurassique.|El ámbar dragón procede de fluidos corporales de wyvern solidificados. No suena muy atractivo, pero son útiles para investigar. Por favor, tráeme algunos de la Fronda Arcaica.|Conosci l'ambradrago? Si tratta di fluidi corporei solidificati di wyvern. Sii gentile, raccogline qualche frammento nella frontiera giurassica! I vecchi picconi sono un mio omaggio!||300|10|0|1
103|2|Medicinal Moths|Medizinmotten|Phalènes médicinales|Polillas medicinales|Falene medicinali||Deliver 3 Immortal Moths|Liefere 3 Unsterblichkeitsmotten ab.|Livrer 3 phalènes immortelles|Entrega 3 polillas inmortales|Consegna 3 falene eterne||Village|0|LR|3|0|1|1|50|0|300|30|Slay 3 Bnahabra|3 Bnahabra erlegen|Tuer 3 Bnahabra|Abate a 3 Bnahabra|Uccidi 3 Bnahabra||A friend of mine told me that there's a medicine that uses Immortal Moths! I'd love to research it, but...sadly I'm a real entomophobe. Could you catch some for me, please?|Ein alter Freund hat mir von einer Medizin aus Unsterblichkeitsmotten erzählt! Ich würde das gerne erforschen, aber ich ekle mich so. Kannst du mir bitte ein paar fangen?|L'un de mes amis m'a parlé d'un remède préparé à partir de phalènes immortelles. J'aimerais l'étudier plus avant... mais je suis hélas entomophobe. Pourriez-vous en attraper quelques-unes ?|Un amigo me ha contado que hay un medicamento que usa polillas inmortales. Me gustaría investigarlo, pero me dan miedo los insectos. ¿Podrías cazarme unas cuantas?|Un amico mi ha spiegato che le falene eterne possono essere usate in medicina! Vorrei saperne di più ma... ho paura degli insetti! Per caso, potresti catturarne qualcuna per me?||300|10|0|1
104|3|Horns o' Plenty|Füll-Hörner|Cornes d'abondance|Cuernos de la abundancia|Un corno al giorno||Deliver 3 Kelbi Horns|Liefere 3 Kelbi-Hörner ab.|Livrer 3 cornes de Kelbi|Entrega 3 cuernos de Kelbi|Consegna 3 corna di Kelbi||Village|0|LR|3|0|1|1|50|0|300|30|Deliver a White Liver|1 Weiße Leber abliefern|Livrer 1 foie blanc|Entrega 1 hígado blanco|Consegna un fegato bianco||Eastern medicine believes Kelbi Horns can help heal injuries, so I'd like to keep a stockpile in my house. That means you get to go carve three of them for me! Don't dawdle now!|Die östliche Medizin glaubt, dass Kelbi-Hörner heilende Wirkung haben. Ich würde mir gerne einen Vorrat anlegen - was bedeutet, dass du mir drei davon holen darfst. Na los, auf!|Selon la médecine orientale, les cornes de Kelbi peuvent soigner les blessures. Alors j'ai l'intention d'en faire provision. Je compte donc sur vous pour m'en procurer trois.|La medicina oriental cree que los cuernos de Kelbi ayudan a curar heridas, así que quiero acumular unos cuantos. ¡Puedes cortar tres para mí! Va, ¡no pierdas tiempo!|Gli esperti di medicina orientale ritengono che le corna di Kelbi favoriscano la guarigione delle ferite. Per questo è meglio averne una scorta in casa. Forza, procuramene tre!||300|10|0|4
105|4|A Fungal Hunt|Pilzjagd|En quête de champignons|Coto de setas|Caccia fungina||Deliver 5 Abyssal Mushrooms|Liefere 5 Unheil-Pilze ab.|Livrer 5 champis abyssaux|Entrega 5 setas abismales|Consegna 5 funghi abissali||Village|1|LR|3|0|1|1|50|0|300|30|None|-|Rien|Ninguno|Nessuno||I've taken an interest in Abyssal Mushrooms. You can only find them deep inside the Jurassic Frontier and they have a very distinct scent. I can't go, but if you could, that'd be great.|Ich interessiere mich für Unheil-Pilze, die tief im Jura-Grenzland wachsen; man erkennt sie an ihrem markanten Geruch. Ich bin hier gebunden, vielleicht könntest du mir helfen?|Je m'intéresse aux champignons abyssaux qu'on ne trouve qu'à la Frontière jurassique. Je ne peux hélas m'y rendre moi-même, mais vous me rendriez un grand service en m'en apportant.|Me interesan las setas abismales. Solo crecen en las profundidades de la Fronda Arcaica y tienen un olor muy fuerte. Yo no puedo ir, si fueses tú, sería genial.|Vorrei proprio assaggiare i funghi abissali che crescono nel cuore della frontiera. Hanno un profumo unico. Sarebbe fantastico se potessi raccoglierli per me!||0|0|0|1
106|5|Wipe Out!|Auslöschen!|Chauds Maccao !|¡Acaba con ellos!|Uno smacco al Maccao!||Slay 10 Maccao|Erlege 10 Maccaos.|Tuer 10 Maccao|Abate a 10 Maccao|Uccidi 10 Maccao||Village|1|LR|1|0|1|1|50|0|300|30|None|-|Rien|Ninguno|Nessuno||You ever seen a Maccao? You know: big tail, green, bad attitude and totally rude? Seems their alpha has skedaddled off somewhere, so now's a great time to wipe out them pesky pests!|Schoma 'nen Maccao gesehn? Weißt schon, grüne Typen, immer einen auf dicken Schwanz und echt mies drauf? Ihr Alpha hat sich wohl verdrückt; gute Gelegenheit den Rest loszuwerden!|Vous connaissez le Maccao ? Une bestiole verte, dotée d'une queue imposante, à la personnalité détestable ? Leur alpha semble avoir déguerpi. C'est le moment d'éradiquer cette vermine !|¿Has visto alguna vez un Maccao? Cola grandota, mala actitud, maleducados. Parece que su alfa se ha largado a alguna parte, así que es el momento de ocuparse de esa plaga.|Hai presente i Maccao? Sono quelle creature verdi dalla grossa coda e dall'indole focosa. Pare che l'alfa del branco si sia allontanato: è il momento ideale per liberarci di quelle pesti!||0|0|0|0
107|6|Another Pack Attack|Jaggi-Vendetta|Vendetta de Felyndra|La venganza de Catalina|La vendetta della miadama||Slay 10 Jaggi|Erlege 10 Jaggi.|Tuer 10 Jaggi|Abate a 10 Jaggi|Uccidi 10 Jaggi||Village|1|LR|1|0|1|101|50|0|300|30|None|-|Rien|Ninguno|Nessuno||In the Frontier there are Felynes in trouble. Gather your things and depart on the double! Once you have saved them from certain defeat, come to see me for a sweet little treat!|Im Jura-Grenzland werden einige Felynen von wilden Jaggi bedroht! Bitte rette sie! Nachdem du ihnen geholfen hast, bekommst du auch eine besondere Belohnung von mir!|Les Felynes de la Frontière jurassique sont harcelés par des Jaggi enragés ! Je vous en prie, allez les sauver ! Je vous attends ici avec une récompense spéciale.|¡En la Fronda Arcaica hay Jaggi feroces atacando a los Felyne! ¡Sálvalos, por favor! Después de ayudarlos, ven a verme y te daré una recompensa muy especial.|Alcuni Felyne sono stati assaliti dai Jaggi nella frontiera giurassica! Ti prego, vai a dare loro una zampa! Dopo averli aiutati, vieni a trovarmi per la tua ricompensa!||0|0|0|0
201|7|Harvest Tour: Jurassic Frontier|Erntetour: Jura-Grenzland|Visite : Frontière jurassique|Recolección: Fronda Arcaica|Tour: Frontiera giurassica||Survive until time expires or deliver a Paw Pass Ticket|Überlebe bis Zeitende oder gib einen Tatzenpass ab.|Temps expiré ou livrer un ticket Passechat|Aguanta hasta que acabe el tiempo o da un ticket zarpa|Sopravvivi fino allo scadere o consegna buono pass-zampa||Village|0|LR|3|0|2|1|50|0|12|0|None|-|Rien|Ninguno|Nessuno||Interested in gathering? Then look no further than this Quest, brave Hunter. Gather as much as you like, then deliver a Paw Pass Ticket from the Supply Box to return at any time.|Magst du Sammeln? Dann habe ich genau die richtige Aufgabe für dich, mutiger Jäger! Nimm, was immer du magst. Wenn du fertig bist, gib einfach den Tatzenpass ab, den du in der Vorratsbox findest.|La collecte, ça vous dit ? J'ai justement la quête qu'il vous faut. Récoltez comme bon vous semble. Quand vous en avez assez, livrez un ticket Passechat de la boîte à fournitures.|¿Quieres ir de recogida? Tengo una misión ideal para ti, cazador. Recoge todo lo que quieras, entrega un ticket zarpa de la caja de suministros, y listos. ¿Vale?|La raccolta t'appassiona? Allora ho la missione per te! Raccogli come se non ci fosse un domani, consegna poi un buono pass-zampa nella cassa quando ne avrai abbastanza. D'accordo?||0|0|0|0
202|8|Harvest Tour: Dunes|Erntetour: Dünen|Visite : Dunes|Recolección: Dunas|Tour: Dune||Survive until time expires or deliver a Paw Pass Ticket|Überlebe bis Zeitende oder gib einen Tatzenpass ab.|Temps expiré ou livrer un ticket Passechat|Aguanta hasta que acabe el tiempo o da un ticket zarpa|Sopravvivi fino allo scadere o consegna buono pass-zampa||Village|0|LR|3|0|2|5|50|0|12|0|None|-|Rien|Ninguno|Nessuno||Interested in gathering? Then look no further than this Quest, brave Hunter. Gather as much as you like, then deliver a Paw Pass Ticket from the Supply Box to return at any time.|Magst du Sammeln? Dann habe ich genau die richtige Aufgabe für dich, mutiger Jäger! Nimm, was immer du magst. Wenn du fertig bist, gib einfach den Tatzenpass ab, den du in der Vorratsbox findest.|La collecte, ça vous dit ? J'ai justement la quête qu'il vous faut. Récoltez comme bon vous semble. Quand vous en avez assez, livrez un ticket Passechat de la boîte à fournitures.|¿Quieres ir de recogida? Tengo una misión ideal para ti, cazador. Recoge todo lo que quieras, entrega un ticket zarpa de la caja de suministros, y listos. ¿Vale?|La raccolta t'appassiona? Allora ho la missione per te! Raccogli come se non ci fosse un domani, consegna poi un buono pass-zampa nella cassa quando ne avrai abbastanza. D'accordo?||0|0|0|0
203|9|Harvest Tour: Verdant Hills|Erntetour: Grüne Hügel|Visite : Collines verdoyantes|Recolección: Bosque Rocoso|Tour: Colli verdi||Survive until time expires or deliver a Paw Pass Ticket|Überlebe bis Zeitende oder gib einen Tatzenpass ab.|Temps expiré ou livrer un ticket Passechat|Aguanta hasta que acabe el tiempo o da un ticket zarpa|Sopravvivi fino allo scadere o consegna buono pass-zampa||Village|0|LR|3|0|2|2|50|0|12|0|None|-|Rien|Ninguno|Nessuno||Gatherin' is what sets a livin' hunter apart from a dead one. Without it, ya can't survive! So take all ya want! Just turn in the Paw Pass Ticket from the Supply Box when yer set!|Sammeln unterscheidet einen lebenden Jäger von einem toten. Ohne Sammeln kein Überleben! Also nimm, was du brauchst! Gib einfach den Tatzenpass aus der Vorrats- box ab, wenn du fertig bist.|La collecte est la clé de la survie de bien des chasseurs. Alors, allez remplir vos sacs et pensez à livrer le ticket Passechat de la boîte à fournitures quand vous en aurez assez.|La recogida es lo que distingue un cazador vivo de uno muerto. ¡Es esencial! Así que ¡coge lo que quieras! Después deja el ticket zarpa en la caja, y listos.|Le provviste sono importanti per la sopravvivenza di qualsiasi cacciatore. Raccogli tutto ciò che ritieni utile! Consegna il buono pass-zampa nella cassa quando avrai finito!||0|0|0|0
